id,coaching_session_id,topic_id,created_at,updated_at
1,1,11,11/5/2025 4:16:40 PM,1/9/2026 11:08:32 PM
2,2,12,11/5/2025 6:45:17 PM,1/9/2026 11:08:32 PM
3,3,12,11/5/2025 6:45:38 PM,1/9/2026 11:08:32 PM
4,4,12,11/5/2025 6:45:56 PM,1/9/2026 11:08:32 PM
5,5,12,11/5/2025 6:46:14 PM,1/9/2026 11:08:32 PM
6,6,12,11/5/2025 6:46:56 PM,1/9/2026 11:08:32 PM
7,7,12,11/7/2025 3:39:55 PM,1/9/2026 11:08:32 PM
8,8,12,11/7/2025 3:40:10 PM,1/9/2026 11:08:32 PM
9,9,12,11/7/2025 3:40:26 PM,1/9/2026 11:08:32 PM
10,10,12,11/7/2025 3:40:43 PM,1/9/2026 11:08:32 PM
11,11,12,11/7/2025 3:40:59 PM,1/9/2026 11:08:32 PM
12,12,12,11/7/2025 3:41:26 PM,1/9/2026 11:08:32 PM
13,13,2,11/18/2025 4:09:31 PM,1/9/2026 11:08:32 PM
16,16,4,11/18/2025 4:29:19 PM,1/9/2026 11:08:32 PM
21,21,4,11/25/2025 7:30:55 PM,1/9/2026 11:08:32 PM
27,27,10,12/4/2025 6:19:15 PM,1/9/2026 11:08:32 PM
33,33,9,12/15/2025 9:32:31 PM,1/9/2026 11:08:32 PM
34,34,8,12/15/2025 10:11:11 PM,1/9/2026 11:08:32 PM
35,35,6,12/15/2025 10:29:39 PM,1/9/2026 11:08:32 PM
36,36,7,12/15/2025 10:30:00 PM,1/9/2026 11:08:32 PM
38,38,1,12/16/2025 9:10:25 PM,1/9/2026 11:08:32 PM
87,50,16,1/22/2026 4:04:46 PM,1/22/2026 4:04:46 PM
88,50,18,1/22/2026 4:04:46 PM,1/22/2026 4:04:46 PM
89,50,19,1/22/2026 4:04:46 PM,1/22/2026 4:04:46 PM
90,50,27,1/22/2026 4:04:46 PM,1/22/2026 4:04:46 PM
91,50,28,1/22/2026 4:04:46 PM,1/22/2026 4:04:46 PM
92,50,29,1/22/2026 4:04:46 PM,1/22/2026 4:04:46 PM
93,50,30,1/22/2026 4:04:46 PM,1/22/2026 4:04:46 PM
94,49,4,1/27/2026 1:12:24 PM,1/27/2026 1:12:24 PM
95,49,17,1/27/2026 1:12:24 PM,1/27/2026 1:12:24 PM
96,49,30,1/27/2026 1:12:24 PM,1/27/2026 1:12:24 PM
98,51,29,1/28/2026 4:05:25 PM,1/28/2026 4:05:25 PM
99,51,4,1/28/2026 4:05:25 PM,1/28/2026 4:05:25 PM
100,46,18,1/28/2026 4:06:12 PM,1/28/2026 4:06:12 PM
101,46,21,1/28/2026 4:06:12 PM,1/28/2026 4:06:12 PM
102,46,28,1/28/2026 4:06:12 PM,1/28/2026 4:06:12 PM
103,45,1,1/28/2026 4:06:58 PM,1/28/2026 4:06:58 PM
104,45,16,1/28/2026 4:06:58 PM,1/28/2026 4:06:58 PM
105,45,18,1/28/2026 4:06:58 PM,1/28/2026 4:06:58 PM
106,45,19,1/28/2026 4:06:58 PM,1/28/2026 4:06:58 PM
107,45,27,1/28/2026 4:06:58 PM,1/28/2026 4:06:58 PM
108,45,30,1/28/2026 4:06:58 PM,1/28/2026 4:06:58 PM
109,47,16,1/28/2026 4:07:25 PM,1/28/2026 4:07:25 PM
110,47,17,1/28/2026 4:07:25 PM,1/28/2026 4:07:25 PM
111,47,18,1/28/2026 4:07:25 PM,1/28/2026 4:07:25 PM
112,47,19,1/28/2026 4:07:25 PM,1/28/2026 4:07:25 PM
113,47,27,1/28/2026 4:07:25 PM,1/28/2026 4:07:25 PM
114,48,16,1/28/2026 4:12:25 PM,1/28/2026 4:12:25 PM
115,48,17,1/28/2026 4:12:25 PM,1/28/2026 4:12:25 PM
116,48,18,1/28/2026 4:12:25 PM,1/28/2026 4:12:25 PM
117,48,19,1/28/2026 4:12:25 PM,1/28/2026 4:12:25 PM
118,48,21,1/28/2026 4:12:25 PM,1/28/2026 4:12:25 PM
119,48,23,1/28/2026 4:12:25 PM,1/28/2026 4:12:25 PM
120,48,27,1/28/2026 4:12:25 PM,1/28/2026 4:12:25 PM
121,48,30,1/28/2026 4:12:25 PM,1/28/2026 4:12:25 PM
122,44,18,1/28/2026 4:13:04 PM,1/28/2026 4:13:04 PM
123,44,19,1/28/2026 4:13:04 PM,1/28/2026 4:13:04 PM
124,44,28,1/28/2026 4:13:04 PM,1/28/2026 4:13:04 PM
125,43,1,1/28/2026 4:13:45 PM,1/28/2026 4:13:45 PM
126,43,4,1/28/2026 4:13:45 PM,1/28/2026 4:13:45 PM
127,43,16,1/28/2026 4:13:45 PM,1/28/2026 4:13:45 PM
128,43,17,1/28/2026 4:13:45 PM,1/28/2026 4:13:45 PM
129,43,18,1/28/2026 4:13:45 PM,1/28/2026 4:13:45 PM
130,43,19,1/28/2026 4:13:45 PM,1/28/2026 4:13:45 PM
131,43,27,1/28/2026 4:13:45 PM,1/28/2026 4:13:45 PM
132,40,4,1/28/2026 4:15:03 PM,1/28/2026 4:15:03 PM
133,40,16,1/28/2026 4:15:03 PM,1/28/2026 4:15:03 PM
134,40,17,1/28/2026 4:15:03 PM,1/28/2026 4:15:03 PM
135,40,18,1/28/2026 4:15:03 PM,1/28/2026 4:15:03 PM
136,40,19,1/28/2026 4:15:03 PM,1/28/2026 4:15:03 PM
137,42,16,1/28/2026 4:15:36 PM,1/28/2026 4:15:36 PM
138,42,17,1/28/2026 4:15:36 PM,1/28/2026 4:15:36 PM
139,42,18,1/28/2026 4:15:36 PM,1/28/2026 4:15:36 PM
140,42,19,1/28/2026 4:15:36 PM,1/28/2026 4:15:36 PM
141,42,27,1/28/2026 4:15:36 PM,1/28/2026 4:15:36 PM
142,42,28,1/28/2026 4:15:36 PM,1/28/2026 4:15:36 PM
143,41,17,1/28/2026 4:15:58 PM,1/28/2026 4:15:58 PM
144,41,18,1/28/2026 4:15:58 PM,1/28/2026 4:15:58 PM
145,41,19,1/28/2026 4:15:58 PM,1/28/2026 4:15:58 PM
146,41,28,1/28/2026 4:15:58 PM,1/28/2026 4:15:58 PM
147,39,18,1/28/2026 4:16:16 PM,1/28/2026 4:16:16 PM
148,39,19,1/28/2026 4:16:16 PM,1/28/2026 4:16:16 PM
149,39,28,1/28/2026 4:16:16 PM,1/28/2026 4:16:16 PM
150,37,16,1/28/2026 4:16:55 PM,1/28/2026 4:16:55 PM
151,37,18,1/28/2026 4:16:55 PM,1/28/2026 4:16:55 PM
152,37,19,1/28/2026 4:16:55 PM,1/28/2026 4:16:55 PM
153,37,21,1/28/2026 4:16:55 PM,1/28/2026 4:16:55 PM
154,37,23,1/28/2026 4:16:55 PM,1/28/2026 4:16:55 PM
155,37,27,1/28/2026 4:16:55 PM,1/28/2026 4:16:55 PM
156,37,28,1/28/2026 4:16:55 PM,1/28/2026 4:16:55 PM
157,31,4,1/28/2026 4:17:26 PM,1/28/2026 4:17:26 PM
158,31,16,1/28/2026 4:17:26 PM,1/28/2026 4:17:26 PM
159,31,18,1/28/2026 4:17:26 PM,1/28/2026 4:17:26 PM
160,31,19,1/28/2026 4:17:26 PM,1/28/2026 4:17:26 PM
161,31,27,1/28/2026 4:17:26 PM,1/28/2026 4:17:26 PM
162,31,28,1/28/2026 4:17:26 PM,1/28/2026 4:17:26 PM
163,31,31,1/28/2026 4:17:26 PM,1/28/2026 4:17:26 PM
164,30,4,1/28/2026 4:18:11 PM,1/28/2026 4:18:11 PM
165,30,16,1/28/2026 4:18:11 PM,1/28/2026 4:18:11 PM
166,30,17,1/28/2026 4:18:11 PM,1/28/2026 4:18:11 PM
167,30,27,1/28/2026 4:18:11 PM,1/28/2026 4:18:11 PM
168,30,28,1/28/2026 4:18:11 PM,1/28/2026 4:18:11 PM
169,28,18,1/28/2026 4:18:43 PM,1/28/2026 4:18:43 PM
170,28,19,1/28/2026 4:18:43 PM,1/28/2026 4:18:43 PM
171,28,21,1/28/2026 4:18:43 PM,1/28/2026 4:18:43 PM
172,28,23,1/28/2026 4:18:43 PM,1/28/2026 4:18:43 PM
173,28,28,1/28/2026 4:18:43 PM,1/28/2026 4:18:43 PM
174,29,17,1/28/2026 4:19:05 PM,1/28/2026 4:19:05 PM
175,29,18,1/28/2026 4:19:05 PM,1/28/2026 4:19:05 PM
176,29,19,1/28/2026 4:19:05 PM,1/28/2026 4:19:05 PM
177,29,30,1/28/2026 4:19:05 PM,1/28/2026 4:19:05 PM
178,32,4,1/28/2026 4:19:15 PM,1/28/2026 4:19:15 PM
179,24,1,1/28/2026 4:19:43 PM,1/28/2026 4:19:43 PM
180,24,18,1/28/2026 4:19:43 PM,1/28/2026 4:19:43 PM
181,24,19,1/28/2026 4:19:43 PM,1/28/2026 4:19:43 PM
182,24,21,1/28/2026 4:19:43 PM,1/28/2026 4:19:43 PM
183,24,23,1/28/2026 4:19:43 PM,1/28/2026 4:19:43 PM
184,26,18,1/28/2026 4:20:15 PM,1/28/2026 4:20:15 PM
185,26,19,1/28/2026 4:20:15 PM,1/28/2026 4:20:15 PM
186,26,21,1/28/2026 4:20:15 PM,1/28/2026 4:20:15 PM
187,26,22,1/28/2026 4:20:15 PM,1/28/2026 4:20:15 PM
188,26,23,1/28/2026 4:20:15 PM,1/28/2026 4:20:15 PM
189,25,18,1/28/2026 4:20:30 PM,1/28/2026 4:20:30 PM
190,25,19,1/28/2026 4:20:30 PM,1/28/2026 4:20:30 PM
191,23,18,1/28/2026 4:20:46 PM,1/28/2026 4:20:46 PM
192,23,19,1/28/2026 4:20:46 PM,1/28/2026 4:20:46 PM
193,23,21,1/28/2026 4:20:46 PM,1/28/2026 4:20:46 PM
194,23,22,1/28/2026 4:20:46 PM,1/28/2026 4:20:46 PM
195,23,23,1/28/2026 4:20:46 PM,1/28/2026 4:20:46 PM
196,22,1,1/28/2026 4:21:08 PM,1/28/2026 4:21:08 PM
197,22,16,1/28/2026 4:21:08 PM,1/28/2026 4:21:08 PM
198,22,18,1/28/2026 4:21:08 PM,1/28/2026 4:21:08 PM
199,22,19,1/28/2026 4:21:08 PM,1/28/2026 4:21:08 PM
200,22,27,1/28/2026 4:21:08 PM,1/28/2026 4:21:08 PM
201,20,4,1/28/2026 4:21:28 PM,1/28/2026 4:21:28 PM
202,20,17,1/28/2026 4:21:28 PM,1/28/2026 4:21:28 PM
203,20,31,1/28/2026 4:21:28 PM,1/28/2026 4:21:28 PM
204,19,1,1/28/2026 4:21:52 PM,1/28/2026 4:21:52 PM
205,19,18,1/28/2026 4:21:52 PM,1/28/2026 4:21:52 PM
206,19,19,1/28/2026 4:21:52 PM,1/28/2026 4:21:52 PM
207,19,21,1/28/2026 4:21:52 PM,1/28/2026 4:21:52 PM
208,19,22,1/28/2026 4:21:52 PM,1/28/2026 4:21:52 PM
209,19,23,1/28/2026 4:21:52 PM,1/28/2026 4:21:52 PM
210,18,16,1/28/2026 4:22:30 PM,1/28/2026 4:22:30 PM
211,18,18,1/28/2026 4:22:30 PM,1/28/2026 4:22:30 PM
212,18,19,1/28/2026 4:22:30 PM,1/28/2026 4:22:30 PM
213,18,27,1/28/2026 4:22:30 PM,1/28/2026 4:22:30 PM
214,18,30,1/28/2026 4:22:30 PM,1/28/2026 4:22:30 PM
215,17,17,1/28/2026 4:23:11 PM,1/28/2026 4:23:11 PM
216,17,18,1/28/2026 4:23:11 PM,1/28/2026 4:23:11 PM
217,17,19,1/28/2026 4:23:11 PM,1/28/2026 4:23:11 PM
218,17,21,1/28/2026 4:23:11 PM,1/28/2026 4:23:11 PM
219,17,23,1/28/2026 4:23:11 PM,1/28/2026 4:23:11 PM
220,15,18,1/28/2026 4:23:47 PM,1/28/2026 4:23:47 PM
221,15,19,1/28/2026 4:23:47 PM,1/28/2026 4:23:47 PM
222,15,21,1/28/2026 4:23:47 PM,1/28/2026 4:23:47 PM
223,15,22,1/28/2026 4:23:47 PM,1/28/2026 4:23:47 PM
224,15,23,1/28/2026 4:23:47 PM,1/28/2026 4:23:47 PM
225,15,30,1/28/2026 4:23:47 PM,1/28/2026 4:23:47 PM
226,14,18,1/28/2026 4:24:32 PM,1/28/2026 4:24:32 PM
227,14,19,1/28/2026 4:24:32 PM,1/28/2026 4:24:32 PM
228,14,21,1/28/2026 4:24:32 PM,1/28/2026 4:24:32 PM
229,14,22,1/28/2026 4:24:32 PM,1/28/2026 4:24:32 PM
230,14,23,1/28/2026 4:24:32 PM,1/28/2026 4:24:32 PM
231,52,32,2/2/2026 8:02:52 PM,2/2/2026 8:02:52 PM
232,52,35,2/2/2026 8:02:52 PM,2/2/2026 8:02:52 PM
233,52,9,2/2/2026 8:02:52 PM,2/2/2026 8:02:52 PM
236,53,36,2/2/2026 8:32:59 PM,2/2/2026 8:32:59 PM
249,54,4,2/4/2026 4:29:07 PM,2/4/2026 4:29:07 PM
250,54,17,2/4/2026 4:29:07 PM,2/4/2026 4:29:07 PM
253,58,37,2/4/2026 6:38:45 PM,2/4/2026 6:38:45 PM
256,59,37,2/4/2026 6:39:38 PM,2/4/2026 6:39:38 PM
259,60,37,2/4/2026 6:44:12 PM,2/4/2026 6:44:12 PM
262,61,37,2/4/2026 6:47:46 PM,2/4/2026 6:47:46 PM
263,55,4,2/4/2026 7:02:16 PM,2/4/2026 7:02:16 PM
264,55,30,2/4/2026 7:02:16 PM,2/4/2026 7:02:16 PM
265,56,4,2/4/2026 8:24:27 PM,2/4/2026 8:24:27 PM
266,56,17,2/4/2026 8:24:27 PM,2/4/2026 8:24:27 PM
269,62,36,2/5/2026 4:39:10 AM,2/5/2026 4:39:10 AM
272,63,36,2/5/2026 4:39:47 AM,2/5/2026 4:39:47 AM
275,64,36,2/5/2026 4:40:17 AM,2/5/2026 4:40:17 AM
289,57,1,2/12/2026 3:48:10 PM,2/12/2026 3:48:10 PM
290,57,18,2/12/2026 3:48:10 PM,2/12/2026 3:48:10 PM
291,57,19,2/12/2026 3:48:10 PM,2/12/2026 3:48:10 PM
292,57,21,2/12/2026 3:48:10 PM,2/12/2026 3:48:10 PM
293,57,22,2/12/2026 3:48:10 PM,2/12/2026 3:48:10 PM
294,57,23,2/12/2026 3:48:10 PM,2/12/2026 3:48:10 PM
295,57,30,2/12/2026 3:48:10 PM,2/12/2026 3:48:10 PM
300,68,35,2/18/2026 5:14:59 AM,2/18/2026 5:14:59 AM
326,69,18,2/19/2026 6:44:54 PM,2/19/2026 6:44:54 PM
327,69,19,2/19/2026 6:44:54 PM,2/19/2026 6:44:54 PM
328,69,21,2/19/2026 6:44:54 PM,2/19/2026 6:44:54 PM
329,69,22,2/19/2026 6:44:54 PM,2/19/2026 6:44:54 PM
330,69,23,2/19/2026 6:44:54 PM,2/19/2026 6:44:54 PM
331,69,28,2/19/2026 6:44:54 PM,2/19/2026 6:44:54 PM
332,65,1,2/19/2026 6:45:06 PM,2/19/2026 6:45:06 PM
333,65,19,2/19/2026 6:45:06 PM,2/19/2026 6:45:06 PM
334,70,16,2/19/2026 7:42:24 PM,2/19/2026 7:42:24 PM
335,70,17,2/19/2026 7:42:24 PM,2/19/2026 7:42:24 PM
336,70,18,2/19/2026 7:42:24 PM,2/19/2026 7:42:24 PM
337,70,19,2/19/2026 7:42:24 PM,2/19/2026 7:42:24 PM
338,70,27,2/19/2026 7:42:24 PM,2/19/2026 7:42:24 PM
339,70,28,2/19/2026 7:42:24 PM,2/19/2026 7:42:24 PM
340,71,19,2/20/2026 6:35:26 PM,2/20/2026 6:35:26 PM
341,72,19,2/20/2026 6:35:38 PM,2/20/2026 6:35:38 PM
342,73,19,2/20/2026 9:52:30 PM,2/20/2026 9:52:30 PM
343,74,19,2/20/2026 9:52:40 PM,2/20/2026 9:52:40 PM
347,75,17,2/23/2026 7:28:47 PM,2/23/2026 7:28:47 PM
348,75,18,2/23/2026 7:28:47 PM,2/23/2026 7:28:47 PM
349,75,19,2/23/2026 7:28:47 PM,2/23/2026 7:28:47 PM
350,76,39,2/26/2026 6:18:24 PM,2/26/2026 6:18:24 PM
353,77,39,2/27/2026 6:47:34 PM,2/27/2026 6:47:34 PM
354,78,21,3/2/2026 1:37:31 PM,3/2/2026 1:37:31 PM
355,79,1,3/2/2026 7:00:19 PM,3/2/2026 7:00:19 PM
356,79,19,3/2/2026 7:00:19 PM,3/2/2026 7:00:19 PM
357,80,19,3/2/2026 8:02:44 PM,3/2/2026 8:02:44 PM
358,81,19,3/3/2026 6:55:15 PM,3/3/2026 6:55:15 PM
359,82,19,3/3/2026 7:09:56 PM,3/3/2026 7:09:56 PM
360,83,19,3/3/2026 9:08:20 PM,3/3/2026 9:08:20 PM
361,84,32,3/4/2026 4:15:37 PM,3/4/2026 4:15:37 PM
362,85,19,3/4/2026 6:47:08 PM,3/4/2026 6:47:08 PM
363,85,17,3/4/2026 6:47:08 PM,3/4/2026 6:47:08 PM
364,86,32,3/5/2026 3:32:17 PM,3/5/2026 3:32:17 PM
365,87,16,3/6/2026 8:26:31 PM,3/6/2026 8:26:31 PM
366,88,16,3/6/2026 8:45:28 PM,3/6/2026 8:45:28 PM
367,89,23,3/9/2026 2:55:18 PM,3/9/2026 2:55:18 PM
369,91,23,3/9/2026 2:57:04 PM,3/9/2026 2:57:04 PM
370,90,23,3/9/2026 2:57:13 PM,3/9/2026 2:57:13 PM
371,92,19,3/10/2026 7:04:23 PM,3/10/2026 7:04:23 PM
372,93,19,3/10/2026 8:08:59 PM,3/10/2026 8:08:59 PM
373,94,19,3/11/2026 5:50:47 PM,3/11/2026 5:50:47 PM
374,95,19,3/11/2026 7:21:06 PM,3/11/2026 7:21:06 PM
375,96,27,3/12/2026 2:13:56 PM,3/12/2026 2:13:56 PM
376,96,28,3/12/2026 2:13:56 PM,3/12/2026 2:13:56 PM
377,97,17,3/12/2026 7:48:55 PM,3/12/2026 7:48:55 PM
378,98,30,3/12/2026 9:00:31 PM,3/12/2026 9:00:31 PM
379,99,19,3/13/2026 1:05:35 PM,3/13/2026 1:05:35 PM
380,100,19,3/13/2026 1:55:28 PM,3/13/2026 1:55:28 PM
381,100,30,3/13/2026 1:55:28 PM,3/13/2026 1:55:28 PM
382,101,19,3/13/2026 3:16:21 PM,3/13/2026 3:16:21 PM
383,101,30,3/13/2026 3:16:21 PM,3/13/2026 3:16:21 PM
384,102,19,3/13/2026 5:14:45 PM,3/13/2026 5:14:45 PM
385,102,4,3/13/2026 5:14:45 PM,3/13/2026 5:14:45 PM
386,103,19,3/13/2026 6:24:50 PM,3/13/2026 6:24:50 PM
387,103,4,3/13/2026 6:24:50 PM,3/13/2026 6:24:50 PM
389,104,42,3/16/2026 1:47:06 PM,3/16/2026 1:47:06 PM
391,106,19,3/18/2026 5:12:45 PM,3/18/2026 5:12:45 PM
392,107,19,3/18/2026 5:13:26 PM,3/18/2026 5:13:26 PM
393,108,35,3/18/2026 6:26:24 PM,3/18/2026 6:26:24 PM
394,109,16,3/18/2026 7:39:29 PM,3/18/2026 7:39:29 PM
395,109,19,3/18/2026 7:39:29 PM,3/18/2026 7:39:29 PM
396,109,30,3/18/2026 7:39:29 PM,3/18/2026 7:39:29 PM
397,110,19,3/18/2026 7:40:11 PM,3/18/2026 7:40:11 PM
398,111,17,3/18/2026 8:57:34 PM,3/18/2026 8:57:34 PM
399,111,28,3/18/2026 8:57:34 PM,3/18/2026 8:57:34 PM
401,113,39,3/19/2026 4:31:38 PM,3/19/2026 4:31:38 PM
404,105,35,3/19/2026 4:47:57 PM,3/19/2026 4:47:57 PM
405,112,34,3/19/2026 4:48:30 PM,3/19/2026 4:48:30 PM
406,114,32,3/19/2026 4:55:46 PM,3/19/2026 4:55:46 PM
407,115,32,3/19/2026 4:57:39 PM,3/19/2026 4:57:39 PM
408,116,17,3/19/2026 7:51:32 PM,3/19/2026 7:51:32 PM
409,117,28,3/19/2026 7:52:57 PM,3/19/2026 7:52:57 PM
410,118,19,3/19/2026 7:53:47 PM,3/19/2026 7:53:47 PM
411,118,27,3/19/2026 7:53:47 PM,3/19/2026 7:53:47 PM
412,119,30,3/19/2026 7:54:45 PM,3/19/2026 7:54:45 PM
413,119,17,3/19/2026 7:54:45 PM,3/19/2026 7:54:45 PM
414,119,1,3/19/2026 7:54:45 PM,3/19/2026 7:54:45 PM
415,119,19,3/19/2026 7:54:45 PM,3/19/2026 7:54:45 PM
416,120,32,3/20/2026 2:29:43 PM,3/20/2026 2:29:43 PM
417,121,19,3/20/2026 7:52:35 PM,3/20/2026 7:52:35 PM
418,121,17,3/20/2026 7:52:35 PM,3/20/2026 7:52:35 PM
419,122,19,3/20/2026 7:53:25 PM,3/20/2026 7:53:25 PM
420,122,16,3/20/2026 7:53:25 PM,3/20/2026 7:53:25 PM
421,123,19,3/20/2026 7:54:10 PM,3/20/2026 7:54:10 PM
